date,route,origin,destination,expected_packages,weight_kg
2026-02-24,SEA-DFW,Seattle,Dallas,2120,7632
2026-02-24,DEN-ATL,Denver,Atlanta,2320,8352
2026-02-25,LAX-JFK,Los Angeles,New York,4750,17100
2026-02-25,ORD-MIA,Chicago,Miami,3180,11448
2026-02-25,SEA-DFW,Seattle,Dallas,2180,7848
2026-02-25,DEN-ATL,Denver,Atlanta,2380,8568
2026-02-26,LAX-JFK,Los Angeles,New York,4850,17460
2026-02-26,ORD-MIA,Chicago,Miami,3250,11700
2026-02-26,SEA-DFW,Seattle,Dallas,2220,7992
2026-02-26,DEN-ATL,Denver,Atlanta,2420,8712
2026-02-27,LAX-JFK,Los Angeles,New York,4950,17820
2026-02-27,ORD-MIA,Chicago,Miami,3320,11952
2026-02-27,SEA-DFW,Seattle,Dallas,2280,8208
2026-02-27,DEN-ATL,Denver,Atlanta,2480,8928
2026-02-28,LAX-JFK,Los Angeles,New York,5100,18360
2026-02-28,ORD-MIA,Chicago,Miami,3400,12240
2026-02-28,SEA-DFW,Seattle,Dallas,2350,8460
2026-02-28,DEN-ATL,Denver,Atlanta,2550,9180
